## output_259.json
Trace: /var/folders/wf/z4gtsgpn0_vbfyjx5jz7z4pw0000gn/T/codex-ios-ettrace.2FwZgK/run-20260621-081822.launch/output_259.json
Total duration:     15.786271
Idle self total:    13.580424
Unattributed total: 0.001127
Active total:       2.204719

Threads
 15.786271  100.00%total output_259

Top active self frames
  0.587498   26.65%active ETTrace
  0.170450    7.73%active ____sigwait_nocancel
  0.157658    7.15%active swift_conformsToProtocolMaybeInstantiateSuperclasses(swift::TargetMetadata<swift::InProcess> const*, swift::TargetProtocolDescriptor<swift::InProcess> const*, bool)::$_2::operator()((anonymous namespace)::ConformanceSection const&) const::'lambda'(swift::TargetProtocolConformanceDescriptor<swift::InProcess> const&)::operator()(swift::TargetProtocolConformanceDescriptor<swift::InProcess> const&) const
  0.096378    4.37%active readClass(objc_class*, bool, bool)
  0.071481    3.24%active swift_conformsToProtocolMaybeInstantiateSuperclasses(swift::TargetMetadata<swift::InProcess> const*, swift::TargetProtocolDescriptor<swift::InProcess> const*, bool)
  0.065687    2.98%active <deduplicated_symbol>
  0.060461    2.74%active task_info
  0.045845    2.08%active task_policy_set
  0.045649    2.07%active _mapStrHash(_NXMapTable*, void const*)
  0.034797    1.58%active map_images_nolock
  0.031063    1.41%active getMethodNoSuper_nolock(objc_class*, objc_selector*)
  0.030938    1.40%active csr_check
  0.029956    1.36%active __CFFromUTF8
  0.018980    0.86%active swift::equalContexts(swift::TargetContextDescriptor<swift::InProcess> const*, swift::TargetContextDescriptor<swift::InProcess> const*)
  0.015417    0.70%active UIKitCore
  0.015324    0.70%active mach_voucher_extract_attr_content
  0.014886    0.68%active swift::_getWitnessTable(swift::TargetProtocolConformanceDescriptor<swift::InProcess> const*, swift::TargetMetadata<swift::InProcess> const*, void const* const*)
  0.010325    0.47%active -[CUIStructuredThemeStore lookupAssetForKey:]
  0.010301    0.47%active swift::_contextDescriptorMatchesMangling(swift::TargetContextDescriptor<swift::InProcess> const*, swift::Demangle::__runtime::Node*)
  0.010282    0.47%active swift::_searchConformancesByMangledTypeName(swift::Demangle::__runtime::Node*)
  0.010241    0.46%active prepareMethodLists(objc_class*, method_list_t**, int, bool, bool, char const*)
  0.010229    0.46%active realizeClassWithoutSwift(objc_class*, objc_class*)
  0.010219    0.46%active lookUpImpOrForward
  0.010199    0.46%active swift_getTypeByMangledNameImpl(swift::MetadataRequest, __swift::__runtime::llvm::StringRef, void const* const*, std::__1::function<void const* (unsigned int, unsigned int)>, std::__1::function<swift::TargetWitnessTable<swift::InProcess> const* (swift::TargetMetadata<swift::InProcess> const*, unsigned int)>)
  0.010192    0.46%active libsystem_platform.dylib
  0.010095    0.46%active _xzm_xzone_malloc_tiny
  0.009976    0.45%active TSFNTFont::GetFormat() const
  0.005584    0.25%active objc_msgSend$customView
  0.005294    0.24%active type metadata accessor for _ButtonGesture
